words,count
29,85
18,181
7,350
50,15
38,39
14,245
34,49
18,181
10,319
27,87
6,417
10,319
4,454
4,454
2,692
6,417
1,773
5,443
5,443
27,87
17,195
4,454
20,157
17,195
30,61
2,692
2,692
5,443
19,150
1,773
6,417
21,127
6,417
12,283
16,194
8,371
2,692
10,319
13,253
43,28
22,107
13,253
27,87
15,188
11,288
1,773
59,5
1,773
10,319
9,354
1,773
14,245
9,354
9,354
41,25
3,524
11,288
3,524
145,1
11,288
1,773
9,354
16,194
13,253
9,354
12,283
2,692
4,454
55,10
2,692
5,443
13,253
7,350
1,773
10,319
13,253
6,417
5,443
9,354
1,773
3,524
8,371
15,188
22,107
15,188
10,319
23,120
8,371
23,120
5,443
13,253
5,443
18,181
90,1
6,417
1,773
10,319
29,85
5,443
2,692
2,692
2,692
2,692
2,692
2,692
14,245
11,288
1,773
1,773
11,288
8,371
33,60
4,454
18,181
29,85
14,245
19,150
1,773
16,194
9,354
13,253
31,72
1,773
4,454
15,188
7,350
5,443
19,150
8,371
2,692
22,107
11,288
13,253
21,127
1,773
10,319
4,454
22,107
7,350
16,194
4,454
5,443
36,46
11,288
6,417
33,60
58,4
17,195
18,181
16,194
17,195
50,15
27,87
11,288
26,82
24,107
25,88
25,88
12,283
1,773
12,283
12,283
42,37
11,288
8,371
8,371
4,454
9,354
38,39
1,773
42,37
1,773
14,245
26,82
13,253
20,157
3,524
14,245
22,107
13,253
1,773
20,157
18,181
11,288
10,319
12,283
42,37
3,524
5,443
13,253
20,157
2,692
13,253
2,692
13,253
2,692
1,773
1,773
27,87
1,773
10,319
16,194
1,773
10,319
17,195
2,692
9,354
5,443
23,120
11,288
5,443
8,371
27,87
4,454
4,454
11,288
4,454
27,87
2,692
2,692
6,417
3,524
26,82
41,25
3,524
18,181
18,181
13,253
8,371
5,443
2,692
3,524
9,354
4,454
33,60
10,319
49,14
3,524
15,188
16,194
7,350
25,88
3,524
2,692
3,524
2,692
10,319
10,319
16,194
2,692
2,692
4,454
17,195
53,11
16,194
27,87
18,181
1,773
49,14
1,773
19,150
5,443
27,87
7,350
7,350
24,107
15,188
31,72
45,30
1,773
1,773
34,49
19,150
3,524
12,283
3,524
1,773
6,417
45,30
1,773
31,72
30,61
1,773
34,49
1,773
12,283
1,773
18,181
1,773
24,107
1,773
8,371
13,253
6,417
18,181
9,354
3,524
111,1
