words,count
21,141
14,234
7,457
48,7
27,54
11,316
28,77
14,234
8,385
21,141
6,471
9,371
4,513
4,513
6,471
5,496
4,513
22,111
14,234
3,590
19,142
16,195
27,54
5,496
18,148
5,496
21,141
6,471
10,377
15,221
8,385
10,377
13,267
34,41
21,141
11,316
21,141
12,280
9,371
51,10
10,377
8,385
13,267
8,385
6,471
31,50
3,590
10,377
3,590
117,1
10,377
9,371
16,195
12,280
9,371
11,316
3,590
49,10
5,496
11,316
7,457
10,377
12,280
6,471
5,496
8,385
3,590
7,457
14,234
18,148
14,234
9,371
21,141
7,457
16,195
5,496
11,316
4,513
17,167
73,1
5,496
10,377
22,111
4,513
12,280
9,371
10,377
7,457
28,77
4,513
14,234
21,141
13,267
15,221
11,316
8,385
11,316
26,77
4,513
14,234
7,457
5,496
17,167
7,457
18,148
10,377
9,371
17,167
9,371
4,513
18,148
5,496
13,267
3,590
4,513
26,77
9,371
6,471
28,77
49,10
15,221
15,221
13,267
15,221
42,15
22,111
9,371
23,110
20,117
23,110
22,111
11,316
12,280
10,377
34,41
9,371
7,457
8,385
3,590
6,471
8,385
34,41
13,267
20,117
12,280
17,167
3,590
8,385
17,167
12,280
16,195
14,234
6,471
8,385
10,377
37,25
3,590
5,496
10,377
19,142
12,280
12,280
26,77
10,377
14,234
10,377
17,167
8,385
5,496
22,111
10,377
5,496
8,385
25,92
4,513
4,513
9,371
4,513
23,110
6,471
3,590
25,92
36,35
3,590
14,234
12,280
12,280
7,457
4,513
3,590
7,457
4,513
30,54
9,371
39,16
3,590
13,267
12,280
7,457
18,148
3,590
3,590
9,371
4,513
12,280
3,590
15,221
45,11
14,234
23,110
15,221
43,13
17,167
4,513
23,110
7,457
6,471
20,117
13,267
28,77
39,16
26,77
15,221
3,590
11,316
3,590
6,471
42,15
29,52
24,80
27,54
10,377
18,148
24,80
7,457
13,267
6,471
16,195
9,371
3,590
96,3
8,385
15,221
7,457
8,385
13,267
4,513
10,377
3,590
7,457
4,513
9,371
10,377
11,316
11,316
7,457
7,457
10,377
7,457
21,141
7,457
6,471
18,148
9,371
7,457
10,377
7,457
24,80
11,316
4,513
45,11
16,195
20,117
9,371
3,590
14,234
4,513
19,142
3,590
11,316
20,117
11,316
12,280
13,267
11,316
21,141
29,52
12,280
21,141
3,590
5,496
3,590
17,167
2,10
14,234
9,371
6,471
19,142
30,54
14,234
15,221
9,371
11,316
3,590
17,167
3,590
24,80
22,111
22,111
4,513
3,590
9,371
12,280
11,316
8,385
25,92
11,316
10,377
9,371
11,316
12,280
5,496
7,457
3,590
5,496
6,471
18,148
14,234
16,195
9,371
13,267
3,590
10,377
18,148
18,148
22,111
14,234
11,316
27,54
12,280
7,457
17,167
8,385
12,280
15,221
3,590
11,316
6,471
9,371
22,111
11,316
19,142
31,50
7,457
13,267
5,496
21,141
16,195
8,385
11,316
5,496
3,590
5,496
8,385
5,496
36,35
10,377
4,513
22,111
4,513
14,234
27,54
21,141
3,590
3,590
14,234
3,590
3,590
14,234
16,195
23,110
13,267
5,496
4,513
4,513
3,590
5,496
15,221
19,142
14,234
15,221
7,457
6,471
11,316
5,496
6,471
3,590
7,457
19,142
5,496
10,377
8,385
17,167
14,234
25,92
5,496
16,195
4,513
60,5
10,377
16,195
11,316
18,148
8,385
22,111
25,92
9,371
7,457
6,471
6,471
4,513
30,54
13,267
10,377
7,457
23,110
22,111
16,195
18,148
7,457
20,117
28,77
25,92
25,92
12,280
10,377
3,590
30,54
19,142
11,316
18,148
5,496
3,590
9,371
11,316
12,280
4,513
17,167
36,35
10,377
5,496
31,50
40,24
3,590
19,142
14,234
6,471
13,267
5,496
25,92
22,111
24,80
3,590
22,111
9,371
5,496
6,471
22,111
21,141
6,471
20,117
19,142
13,267
19,142
19,142
23,110
30,54
14,234
8,385
12,280
8,385
8,385
10,377
10,377
3,590
21,141
19,142
38,25
7,457
6,471
12,280
12,280
9,371
4,513
12,280
9,371
6,471
14,234
7,457
10,377
4,513
7,457
53,5
60,5
5,496
58,3
28,77
5,496
5,496
11,316
13,267
11,316
10,377
2,10
4,513
29,52
4,513
4,513
32,41
12,280
17,167
24,80
15,221
10,377
11,316
12,280
27,54
3,590
11,316
15,221
7,457
18,148
3,590
11,316
8,385
7,457
15,221
3,590
12,280
25,92
37,25
15,221
37,25
30,54
9,371
3,590
7,457
10,377
12,280
16,195
3,590
4,513
6,471
12,280
5,496
18,148
8,385
21,141
9,371
12,280
30,54
13,267
4,513
9,371
13,267
27,54
36,35
7,457
6,471
18,148
6,471
7,457
34,41
7,457
25,92
39,16
8,385
10,377
15,221
17,167
12,280
3,590
10,377
28,77
8,385
11,316
3,590
7,457
37,25
17,167
8,385
15,221
3,590
4,513
10,377
17,167
4,513
10,377
20,117
13,267
30,54
11,316
22,111
12,280
26,77
28,77
6,471
22,111
5,496
21,141
9,371
3,590
25,92
8,385
8,385
5,496
12,280
23,110
25,92
9,371
10,377
7,457
4,513
5,496
9,371
12,280
3,590
3,590
31,50
6,471
10,377
4,513
14,234
11,316
4,513
18,148
15,221
11,316
6,471
18,148
8,385
7,457
11,316
15,221
8,385
17,167
14,234
3,590
31,50
12,280
9,371
35,20
11,316
48,7
22,111
17,167
9,371
30,54
3,590
13,267
16,195
17,167
29,52
4,513
19,142
71,2
16,195
16,195
11,316
18,148
14,234
27,54
32,41
5,496
10,377
6,471
12,280
10,377
14,234
21,141
25,92
12,280
8,385
7,457
4,513
3,590
6,471
31,50
26,77
6,471
7,457
3,590
24,80
39,16
12,280
6,471
3,590
35,20
7,457
3,590
3,590
3,590
5,496
27,54
3,590
3,590
5,496
19,142
7,457
3,590
4,513
19,142
15,221
8,385
8,385
4,513
17,167
3,590
9,371
3,590
23,110
16,195
10,377
12,280
3,590
5,496
4,513
8,385
18,148
9,371
17,167
22,111
4,513
40,24
13,267
20,117
18,148
13,267
15,221
6,471
3,590
4,513
16,195
14,234
18,148
12,280
23,110
40,24
15,221
3,590
8,385
4,513
10,377
3,590
8,385
6,471
22,111
12,280
23,110
10,377
14,234
8,385
5,496
13,267
12,280
12,280
13,267
21,141
29,52
8,385
28,77
14,234
20,117
20,117
28,77
6,471
6,471
26,77
6,471
6,471
19,142
6,471
3,590
4,513
6,471
7,457
18,148
5,496
20,117
5,496
26,77
7,457
16,195
17,167
7,457
7,457
40,24
6,471
26,77
24,80
13,267
4,513
20,117
13,267
5,496
13,267
49,10
35,20
47,10
13,267
7,457
15,221
22,111
8,385
12,280
31,50
31,50
8,385
26,77
6,471
4,513
6,471
11,316
4,513
5,496
11,316
7,457
4,513
16,195
8,385
28,77
3,590
17,167
10,377
6,471
7,457
3,590
9,371
18,148
10,377
9,371
3,590
9,371
21,141
10,377
10,377
7,457
5,496
10,377
8,385
3,590
12,280
3,590
49,10
10,377
9,371
16,195
4,513
8,385
6,471
15,221
6,471
14,234
22,111
11,316
7,457
16,195
22,111
15,221
18,148
26,77
9,371
8,385
7,457
9,371
21,141
16,195
7,457
15,221
5,496
4,513
13,267
28,77
4,513
3,590
11,316
4,513
9,371
13,267
15,221
6,471
14,234
26,77
9,371
26,77
23,110
5,496
21,141
14,234
9,371
7,457
8,385
15,221
7,457
13,267
13,267
24,80
9,371
9,371
10,377
3,590
9,371
10,377
39,16
14,234
6,471
10,377
5,496
6,471
46,10
3,590
8,385
5,496
14,234
5,496
8,385
18,148
20,117
52,8
19,142
6,471
16,195
7,457
28,77
24,80
17,167
13,267
29,52
11,316
41,21
31,50
28,77
16,195
8,385
128,1
8,385
4,513
75,2
4,513
12,280
8,385
7,457
10,377
8,385
7,457
15,221
9,371
4,513
37,25
8,385
9,371
3,590
12,280
8,385
21,141
37,25
13,267
8,385
7,457
11,316
14,234
45,11
17,167
9,371
21,141
20,117
22,111
6,471
4,513
7,457
36,35
3,590
12,280
17,167
7,457
6,471
6,471
12,280
3,590
3,590
9,371
3,590
6,471
7,457
10,377
9,371
13,267
5,496
9,371
5,496
3,590
21,141
5,496
3,590
13,267
8,385
21,141
11,316
3,590
12,280
12,280
7,457
15,221
10,377
31,50
