words,count
13,307
1,958
2,604
12,347
17,232
1,958
20,202
9,455
7,500
11,328
9,455
1,958
23,116
2,604
1,958
10,428
19,175
17,232
8,487
6,509
10,428
1,958
1,958
15,248
6,509
4,534
6,509
4,534
1,958
1,958
2,604
50,12
21,151
9,455
4,534
5,591
3,581
16,264
24,109
1,958
17,232
1,958
22,140
1,958
1,958
10,428
169,1
4,534
3,581
13,307
5,591
13,307
56,8
2,604
33,64
17,232
33,64
26,104
6,509
23,116
25,106
7,500
23,116
11,328
22,140
9,455
16,264
30,74
8,487
17,232
63,6
19,175
47,9
33,64
20,202
17,232
16,264
18,232
5,591
29,76
3,581
12,347
4,534
17,232
9,455
16,264
24,109
7,500
3,581
17,232
6,509
11,328
6,509
14,282
33,64
9,455
8,487
2,604
5,591
4,534
19,175
1,958
6,509
1,958
4,534
1,958
8,487
4,534
5,591
12,347
12,347
12,347
18,232
1,958
4,534
1,958
1,958
22,140
13,307
26,104
20,202
2,604
4,534
14,282
5,591
1,958
5,591
3,581
7,500
46,12
20,202
15,248
4,534
9,455
26,104
35,47
3,581
3,581
9,455
16,264
23,116
2,604
2,604
30,74
7,500
4,534
23,116
1,958
2,604
7,500
1,958
20,202
8,487
39,36
3,581
29,76
4,534
13,307
9,455
4,534
23,116
2,604
7,500
12,347
5,591
3,581
15,248
1,958
8,487
13,307
11,328
12,347
9,455
33,64
7,500
17,232
4,534
17,232
15,248
12,347
2,604
7,500
33,64
8,487
12,347
18,232
5,591
7,500
24,109
18,232
13,307
2,604
27,94
44,23
15,248
24,109
2,604
5,591
5,591
6,509
9,455
11,328
11,328
1,958
1,958
16,264
11,328
17,232
7,500
2,604
19,175
9,455
13,307
3,581
3,581
3,581
8,487
57,3
8,487
1,958
1,958
9,455
18,232
3,581
18,232
14,282
13,307
10,428
3,581
27,94
13,307
9,455
4,534
2,604
10,428
15,248
6,509
12,347
8,487
8,487
3,581
14,282
18,232
17,232
17,232
1,958
3,581
1,958
25,106
12,347
2,604
25,106
5,591
2,604
8,487
4,534
6,509
16,264
18,232
35,47
24,109
4,534
1,958
2,604
12,347
12,347
7,500
2,604
4,534
1,958
4,534
3,581
8,487
4,534
6,509
11,328
21,151
8,487
2,604
2,604
43,15
44,23
4,534
5,591
39,36
34,50
1,958
5,591
6,509
2,604
1,958
9,455
24,109
18,232
9,455
17,232
3,581
2,604
1,958
17,232
14,282
23,116
20,202
31,61
4,534
13,307
17,232
1,958
1,958
3,581
5,591
10,428
3,581
4,534
15,248
1,958
4,534
5,591
1,958
16,264
8,487
2,604
5,591
5,591
3,581
1,958
3,581
12,347
8,487
3,581
3,581
14,282
1,958
4,534
7,500
1,958
18,232
26,104
7,500
7,500
6,509
1,958
10,428
3,581
11,328
3,581
11,328
19,175
14,282
6,509
3,581
31,61
9,455
2,604
3,581
5,591
16,264
3,581
7,500
3,581
3,581
2,604
7,500
5,591
1,958
14,282
4,534
3,581
1,958
9,455
16,264
10,428
34,50
9,455
17,232
15,248
6,509
19,175
20,202
27,94
11,328
42,21
7,500
18,232
3,581
23,116
2,604
6,509
8,487
15,248
10,428
22,140
31,61
11,328
18,232
27,94
1,958
25,106
9,455
8,487
7,500
1,958
44,23
10,428
3,581
18,232
17,232
7,500
11,328
8,487
4,534
14,282
14,282
13,307
35,47
24,109
38,24
25,106
22,140
3,581
9,455
3,581
23,116
12,347
4,534
16,264
4,534
6,509
19,175
4,534
26,104
16,264
9,455
14,282
18,232
9,455
31,61
13,307
15,248
1,958
2,604
6,509
8,487
7,500
22,140
13,307
5,591
1,958
4,534
3,581
16,264
6,509
16,264
16,264
10,428
5,591
10,428
10,428
18,232
9,455
2,604
7,500
6,509
5,591
14,282
5,591
2,604
6,509
52,13
28,87
7,500
1,958
1,958
3,581
8,487
4,534
12,347
12,347
3,581
16,264
7,500
6,509
10,428
2,604
25,106
18,232
6,509
9,455
5,591
10,428
1,958
27,94
18,232
19,175
10,428
18,232
27,94
26,104
15,248
31,61
27,94
28,87
8,487
7,500
7,500
39,36
19,175
8,487
3,581
13,307
2,604
17,232
2,604
13,307
2,604
17,232
3,581
1,958
4,534
6,509
32,59
1,958
14,282
13,307
20,202
34,50
7,500
6,509
17,232
16,264
18,232
33,64
7,500
82,2
3,581
10,428
37,38
40,20
28,87
4,534
9,455
2,604
1,958
55,8
3,581
8,487
1,958
8,487
8,487
2,604
6,509
10,428
17,232
11,328
21,151
1,958
8,487
9,455
6,509
9,455
2,604
2,604
11,328
15,248
1,958
5,591
6,509
7,500
2,604
3,581
14,282
25,106
10,428
11,328
12,347
3,581
7,500
18,232
10,428
52,13
3,581
7,500
26,104
9,455
1,958
10,428
43,15
15,248
3,581
1,958
10,428
11,328
1,958
24,109
20,202
1,958
4,534
5,591
37,38
1,958
14,282
16,264
5,591
30,74
1,958
4,534
6,509
9,455
1,958
9,455
15,248
2,604
1,958
4,534
61,6
7,500
1,958
28,87
4,534
12,347
8,487
1,958
9,455
1,958
2,604
4,534
3,581
10,428
5,591
9,455
4,534
31,61
3,581
1,958
6,509
8,487
3,581
7,500
4,534
5,591
5,591
3,581
2,604
12,347
13,307
6,509
7,500
11,328
2,604
4,534
6,509
33,64
1,958
6,509
9,455
1246,1
4,534
3,581
11,328
9,455
5,591
1,958
5,591
18,232
8,487
5,591
41,34
6,509
24,109
24,109
24,109
12,347
2,604
5,591
13,307
16,264
11,328
4,534
6,509
4,534
17,232
24,109
29,76
1,958
16,264
7,500
13,307
25,106
12,347
9,455
1,958
13,307
39,36
17,232
7,500
11,328
28,87
16,264
20,202
2,604
9,455
22,140
11,328
8,487
25,106
8,487
