nGram,frequency
892,1
69,2
1337,1
138,1
101,1
347,1
333,2
468,1
234,1
0,206
555,1
88,1
481,2
352,1
170,3
115,2
308,2
5,4
379,1
614,1
269,1
597,1
10,2
1788,1
384,1
56,6
142,3
715,1
1233,1
538,1
153,4
174,2
185,2
42,1
24,5
288,2
436,1
1803,1
37,2
25,1
52,3
14,6
1792,1
184,2
619,1
125,6
559,2
20,9
46,3
969,1
93,2
284,1
325,3
152,4
228,1
57,3
78,4
29,2
216,2
164,1
179,1
443,1
376,1
485,1
106,1
238,1
121,1
514,1
806,1
84,3
766,1
147,1
397,1
280,3
61,3
634,1
692,1
866,1
453,1
132,3
396,1
89,2
133,1
116,1
1,2
265,2
527,1
312,3
74,8
233,2
6,6
248,1
60,3
117,4
439,1
793,1
1783,1
1311,1
2296,1
102,2
798,1
334,1
1042,1
2541,1
1255,1
1123,1
862,1
349,1
28,5
38,5
160,1
70,3
275,3
788,1
21,5
137,1
33,2
92,4
467,1
197,1
361,1
65,4
625,2
2826,1
435,1
97,2
665,1
2068,1
1787,1
493,1
1195,1
551,1
1634,1
710,1
1740,1
324,1
285,1
224,1
519,1
317,1
156,4
9,3
188,1
53,11
169,1
869,1
109,2
328,1
471,1
256,1
124,1
225,1
339,1
77,3
193,1
1584,1
489,1
547,1
212,2
96,3
393,1
701,1
738,1
1382,1
984,1
173,2
13,8
129,3
569,1
2697,1
1246,1
1720,1
41,4
371,1
503,1
134,1
73,3
128,1
237,1
105,1
244,1
2,3
1241,1
266,2
205,1
541,1
398,1
1035,1
1071,1
674,2
1185,1
750,1
1510,1
166,1
32,2
34,5
148,2
45,2
745,1
279,1
64,4
573,1
180,1
17,2
149,3
176,2
402,1
22,2
44,3
286,1
826,1
291,1
59,5
118,2
281,1
259,1
27,6
71,3
391,2
12,5
54,2
611,1
144,1
498,1
49,2
236,1
181,1
704,1
947,1
350,1
86,7
159,5
172,2
113,3
274,1
784,1
419,1
81,1
996,1
230,1
451,2
76,2
7,3
245,1
737,3
318,1
39,5
98,2
1122,1
271,2
208,3
1307,1
477,1
387,1
494,1
552,2
103,4
140,1
621,1
91,1
66,2
251,2
1838,1
155,3
198,1
1381,1
330,3
462,1
1112,1
912,1
130,3
695,1
223,1
608,1
135,1
1000,1
226,1
3,2
438,1
431,2
80,3
922,1
35,2
675,1
1208,1
162,1
548,1
374,2
209,2
112,2
1509,1
342,1
123,2
1958,1
458,1
836,1
194,2
145,3
48,6
557,1
690,1
63,4
1025,1
295,1
18,4
282,1
150,2
95,3
739,1
1267,1
409,1
263,1
50,2
67,1
1300,1
177,1
182,4
331,1
16,3
840,1
338,2
544,1
907,1
31,3
336,1
1981,1
656,1
154,1
11,1
72,2
175,1
314,1
571,1
143,4
43,3
250,2
231,2
2352,1
99,1
556,1
87,2
203,1
495,1
218,1
104,3
1341,1
40,5
26,3
158,3
390,1
186,1
55,4
114,2
171,1
139,3
786,1
23,3
8,7
119,3
58,6
378,1
235,1
246,1
510,1
207,1
272,1
383,1
346,1
82,6
214,1
1161,1
287,1
151,1
999,1
36,4
1097,1
168,1
262,3
146,2
30,6
51,2
1380,1
405,1
190,1
183,1
19,8
564,1
107,1
242,3
4,4
294,1
126,2
136,3
341,2
79,1
195,1
767,1
400,1
94,4
886,1
415,1
395,1
822,1
131,2
47,7
15,3
1925,1
200,1
68,3
62,2
442,1
369,1
90,1
111,2
322,1
1320,1
122,1
83,1
1681,1
309,2
775,1
560,1
2351,1
1204,2
222,2
454,1
232,1
100,2
1014,1
