nGram,frequency
69,7
138,4
101,6
333,1
962,1
666,1
88,9
352,1
170,1
115,3
217,1
120,3
202,1
10,4
56,15
142,2
174,3
404,1
42,11
24,8
301,1
37,9
25,1
52,6
14,4
184,3
110,2
125,7
196,2
20,3
421,1
46,7
93,9
416,1
152,3
228,1
57,11
78,12
29,11
216,1
475,1
164,2
179,1
211,2
106,4
238,1
121,1
84,10
147,2
61,11
132,3
89,4
133,4
116,2
74,9
248,1
60,14
117,8
85,7
381,1
220,1
102,7
28,6
38,10
160,1
392,1
70,6
424,1
275,1
21,3
137,2
165,1
33,7
92,7
197,1
361,1
65,7
97,5
493,1
224,1
156,1
188,1
53,5
356,1
169,1
141,4
109,3
256,1
124,1
225,1
77,6
554,1
193,1
96,1
13,4
129,3
41,6
371,1
134,1
73,5
128,3
343,1
105,3
266,1
205,1
32,11
34,8
148,1
45,7
161,4
64,9
180,2
17,3
149,4
176,1
191,2
22,2
44,12
59,12
118,4
281,1
204,1
259,1
27,11
71,10
12,2
54,5
144,2
49,7
86,7
159,1
187,3
406,1
172,3
113,4
219,2
81,8
451,1
76,8
7,1
245,1
39,4
98,7
303,1
103,3
91,8
66,7
155,2
108,6
130,5
223,2
299,1
226,1
80,10
167,1
35,7
658,1
162,3
112,5
123,1
145,3
48,15
63,1
18,5
282,1
150,1
95,4
263,1
50,10
67,11
199,1
177,2
182,2
16,4
127,3
643,1
31,10
154,1
11,2
72,10
175,2
314,1
143,4
43,10
99,4
87,4
203,1
495,1
218,1
104,6
1108,1
40,7
26,4
158,2
55,12
114,4
171,3
139,5
23,8
8,1
75,8
290,1
119,7
58,12
433,1
207,2
272,1
549,1
82,6
214,1
151,2
300,1
36,10
168,4
262,1
146,3
30,8
51,12
183,1
19,6
210,1
107,3
239,2
294,1
126,4
136,8
79,6
195,1
94,7
131,5
47,13
15,5
163,2
68,14
62,6
90,6
111,5
254,1
122,3
83,8
309,1
222,1
364,2
232,1
100,7
