nGram,frequency
69,4
138,3
101,4
347,1
249,1
234,1
0,156
88,5
408,1
170,3
582,1
115,4
5,3
120,5
202,2
10,10
384,1
56,4
142,2
153,2
174,2
185,1
42,6
24,8
301,1
37,7
1482,1
25,7
389,2
52,6
724,1
14,5
110,2
125,2
196,2
157,1
559,1
189,2
20,9
46,4
93,7
284,1
770,1
416,1
152,2
289,1
57,3
4390,1
78,2
261,2
29,6
216,1
164,3
179,1
485,1
106,4
121,1
84,4
147,3
280,1
61,5
293,1
132,2
89,8
133,3
116,4
243,2
1,3
312,1
74,1
206,1
307,1
233,1
6,5
248,3
60,6
380,2
117,2
270,1
85,4
201,1
381,1
220,2
102,4
334,1
260,1
28,7
38,6
160,2
392,1
297,1
70,7
424,1
407,1
21,8
137,2
165,1
33,10
229,3
65,6
97,2
329,2
522,1
324,1
224,1
1017,1
403,1
9,5
188,1
53,2
141,3
610,1
109,4
328,1
471,1
124,2
339,1
77,2
193,2
1414,1
590,1
212,2
96,1
173,1
13,9
3109,1
41,3
134,1
73,9
105,4
2,4
266,3
205,1
794,1
718,1
166,2
32,5
34,5
148,1
264,1
45,11
161,1
279,1
64,8
296,1
17,5
149,4
22,8
44,6
59,5
118,2
281,1
204,1
27,6
71,3
12,7
445,2
54,4
313,1
144,2
49,6
181,2
350,1
86,2
159,1
187,2
172,1
113,3
681,2
219,1
274,1
81,4
996,1
451,1
76,1
7,1
245,1
509,1
39,8
434,1
98,2
303,1
271,1
208,1
103,1
140,1
213,1
91,3
66,2
240,1
251,1
155,1
108,2
330,1
130,2
959,1
278,1
394,1
135,2
226,1
3,3
267,3
80,7
167,3
35,6
675,1
112,1
194,1
145,4
776,1
48,8
63,4
18,7
282,2
150,4
95,2
263,1
310,1
50,10
67,5
199,1
673,1
177,3
182,2
16,7
370,2
127,2
338,2
951,1
359,1
643,1
31,11
613,1
154,3
11,4
72,8
175,1
143,1
43,4
250,2
231,2
99,2
87,3
1913,1
40,6
26,8
158,1
652,1
55,4
114,3
139,2
23,5
8,10
75,8
119,2
58,6
235,2
207,3
272,1
383,1
346,2
82,4
151,1
36,6
168,1
262,2
146,1
30,5
51,5
190,2
183,1
19,5
107,3
4,4
294,1
126,5
136,1
79,4
94,4
415,1
728,2
131,3
47,2
15,8
200,5
68,7
62,4
178,1
111,1
486,1
122,5
1367,1
354,2
83,2
309,1
215,2
100,3
