nGram,frequency
10000468.json,68
10000499.json,381
10000888.json,81
10001186.json,177
10001756.json,7
10002037.json,196
10002189.json,24
10003321.json,164
10004277.json,32
10004856.json,13
10005279.json,70
10006098.json,109
10006749.json,187
10006781.json,200
10009165.json,4
10009921.json,93
10010602.json,45
10010872.json,0
10011897.json,0
10013317.json,250
10013634.json,119
1001418.json,26
10016081.json,25
10016445.json,272
10016455.json,8
10016852.json,0
10017062.json,122
10017185.json,80
10017381.json,183
10017689.json,250
10018236.json,48
10018463.json,124
10019077.json,79
10019162.json,164
10020443.json,0
10020658.json,142
10020800.json,70
10020955.json,54
10021395.json,33
10021599.json,126
10022159.json,959
10022195.json,189
10022538.json,282
10022548.json,486
10022983.json,52
10023141.json,0
10023558.json,40
10025078.json,0
10025091.json,69
10025239.json,36
10026320.json,10
10026941.json,83
10027118.json,116
10027124.json,59
10027368.json,65
10028012.json,164
10028057.json,0
10028589.json,141
10028601.json,0
10028690.json,0
10029365.json,3
10029881.json,274
10031363.json,40
10031368.json,334
10031659.json,509
10032911.json,81
10033326.json,0
10033445.json,170
10033855.json,149
10034760.json,80
10034890.json,51
10037158.json,52
10037360.json,27
10037462.json,179
10037637.json,62
10038179.json,392
10038513.json,75
10038647.json,73
10038653.json,235
10039889.json,33
10040190.json,173
10040912.json,0
10041202.json,51
10042336.json,117
10043878.json,36
10045617.json,199
10045837.json,16
10046304.json,43
10047281.json,8
10047805.json,18
10048334.json,131
10048628.json,23
10049278.json,229
1004935.json,32
10049857.json,141
10050018.json,20
10050211.json,133
10050431.json,110
10050637.json,380
10051239.json,56
10051355.json,120
10051381.json,38
10051395.json,94
10051454.json,0
10051531.json,0
10051739.json,98
10051867.json,72
10052568.json,226
10053213.json,170
10053297.json,139
10053595.json,293
10054531.json,0
10055037.json,168
10055095.json,207
10055428.json,48
10056094.json,56
1005646.json,0
10059068.json,45
10059935.json,0
10060440.json,55
10060533.json,73
10060700.json,120
10060843.json,155
10063511.json,19
1006352.json,0
10064193.json,150
10064502.json,213
10064791.json,145
10065723.json,10
10065902.json,185
10066468.json,415
10066604.json,234
10067176.json,95
10067224.json,65
10067370.json,60
10067489.json,160
10067504.json,10
1006776.json,19
10068270.json,2
1006839.json,0
10068935.json,73
10069184.json,142
10069281.json,106
10069943.json,0
10070276.json,30
10070698.json,21
10071264.json,50
10072066.json,10
10072144.json,44
10072258.json,0
10072301.json,113
1007268.json,25
10072820.json,75
10072905.json,32
10072919.json,13
10073298.json,0
10073311.json,0
10073731.json,45
10074209.json,35
10074743.json,248
10075493.json,26
10076184.json,294
10077710.json,84
10078055.json,39
10078383.json,151
10078561.json,13
10078637.json,116
10080084.json,12
10080857.json,359
10080862.json,67
10081829.json,88
10082356.json,718
10082373.json,0
10083442.json,34
10084524.json,67
10084716.json,87
10085191.json,14
10085457.json,522
10085536.json,0
10085697.json,346
10087914.json,28
10088871.json,137
10089052.json,0
10091425.json,0
10092758.json,167
10093385.json,4390
10095640.json,66
10095865.json,160
10098676.json,84
10098958.json,1414
1009994.json,28
10100521.json,9
10101221.json,33
10101356.json,126
10102207.json,424
1010276.json,0
10103490.json,8
10105003.json,72
10105114.json,301
1010525.json,40
10105821.json,590
10106500.json,20
10106539.json,16
10106833.json,0
10107097.json,22
101072.json,2
1010739.json,0
10107645.json,45
10109181.json,133
10110335.json,23
10110498.json,36
10111753.json,29
10112945.json,643
10113078.json,56
10113258.json,70
10113380.json,5
10113460.json,70
10113598.json,0
10113657.json,0
1011410.json,167
10115084.json,208
10115906.json,445
10115936.json,39
10116029.json,37
10116195.json,111
10117077.json,116
10117437.json,107
10117823.json,19
10117964.json,243
10118030.json,22
10118198.json,6
10118303.json,114
10118549.json,42
10118867.json,0
10119056.json,0
10119392.json,174
10119479.json,101
10120305.json,38
10120709.json,282
10121987.json,33
10122422.json,114
1012270.json,33
10124229.json,94
10125390.json,9
10126071.json,25
10126124.json,389
10126660.json,72
10126835.json,27
10126972.json,8
10127235.json,15
10127754.json,127
10127880.json,153
10128999.json,120
10129107.json,135
10129493.json,24
10130608.json,45
10130868.json,45
10132005.json,34
10133011.json,73
10133584.json,170
10133942.json,675
10134168.json,39
10134571.json,102
10134651.json,86
10135071.json,44
10135833.json,41
10136193.json,200
10136518.json,0
1013657.json,154
10137442.json,43
10138636.json,85
10139917.json,79
10140378.json,0
10140630.json,93
10141167.json,189
10141296.json,29
10141564.json,46
10142072.json,206
10142706.json,125
10143501.json,10
10145421.json,33
10145855.json,28
10145910.json,174
10146867.json,271
10146969.json,13
10146977.json,13
10147005.json,87
10147324.json,0
10147712.json,59
10148746.json,0
10149174.json,42
10149889.json,0
10150020.json,89
10150660.json,57
10150928.json,126
10151104.json,0
10151477.json,60
10151800.json,35
10152242.json,137
10154153.json,8
10154477.json,45
10155127.json,0
10155222.json,158
1015543.json,0
10155871.json,370
10156277.json,93
10156524.json,122
10158327.json,266
10159003.json,96
10159399.json,115
10159633.json,29
10159702.json,11
10160705.json,49
10160804.json,25
10160971.json,280
10161282.json,30
10161574.json,52
10161737.json,10
10161993.json,35
10162142.json,105
10162878.json,18
10164177.json,383
10164438.json,1482
10164546.json,172
10164682.json,107
10165064.json,34
10165710.json,182
10166011.json,52
10166756.json,26
10167062.json,0
10167396.json,68
10167423.json,63
10167634.json,262
1016777.json,4
10168327.json,58
10168439.json,0
10168475.json,34
10169654.json,88
10170062.json,0
10171329.json,0
1017310.json,0
10173494.json,0
10175183.json,48
10175219.json,559
10177523.json,24
10178127.json,0
10178344.json,0
10178681.json,0
10178764.json,15
10179071.json,70
10180173.json,21
10180256.json,350
10180475.json,64
10183429.json,21
10183476.json,82
10183830.json,15
10184554.json,330
10184644.json,248
10185658.json,0
10185840.json,89
10186069.json,346
10186179.json,14
10186211.json,100
10186220.json,145
10186267.json,0
10186291.json,49
10186466.json,202
10187668.json,15
10188575.json,68
10189078.json,12
10189334.json,0
10191156.json,26
10191425.json,8
10191529.json,131
10191803.json,100
1019208.json,91
10192215.json,0
10192438.json,65
10193863.json,50
10193918.json,57
10194441.json,139
10194790.json,13
10194966.json,154
10195071.json,132
10195377.json,389
10195424.json,0
10195568.json,75
10196424.json,0
10196798.json,0
10196973.json,120
10197315.json,148
10197566.json,0
10198516.json,73
1020044.json,0
10201218.json,17
10201426.json,62
10201437.json,71
10201472.json,0
10201612.json,485
10201876.json,794
10202096.json,178
10202115.json,124
10204048.json,109
10204421.json,61
1020509.json,0
10206096.json,212
10207161.json,114
10209235.json,673
10210516.json,3109
10211794.json,776
10212535.json,80
10212937.json,0
10213963.json,14
10214728.json,75
10215207.json,62
10215241.json,147
10215559.json,193
10215767.json,0
10216676.json,18
10216852.json,31
10218321.json,201
10218481.json,59
10218729.json,65
10219318.json,194
10219914.json,63
10220030.json,243
10221598.json,220
10221830.json,26
10222830.json,94
10222868.json,212
10224483.json,91
10224834.json,108
10225361.json,27
10225404.json,48
10225444.json,37
10226262.json,82
10226810.json,0
10227773.json,39
1023034.json,0
10231017.json,8
10231321.json,329
10231398.json,20
10231581.json,24
10232900.json,0
10233210.json,22
10233431.json,58
10234197.json,85
10234487.json,85
10235653.json,138
10236640.json,154
10236964.json,69
10237297.json,89
10241145.json,370
10241223.json,181
