nGram,frequency
69,5
138,3
101,3
249,1
234,2
88,12
352,1
170,3
115,2
217,1
276,1
120,5
247,1
511,1
269,1
202,1
10,2
56,10
142,3
340,1
153,6
185,2
42,6
24,2
288,1
320,1
37,5
25,10
257,1
52,8
14,3
184,5
110,3
125,3
196,1
157,3
189,2
20,2
46,8
93,6
325,1
152,4
228,3
57,9
78,9
261,1
29,9
216,2
164,1
211,1
253,3
106,7
121,3
348,1
84,9
905,1
147,4
397,2
61,11
221,3
293,1
132,5
89,11
133,4
116,8
243,1
265,1
74,5
206,2
6,1
60,9
117,5
512,1
270,1
85,6
201,1
381,1
220,2
102,6
260,1
28,10
38,4
160,3
70,7
192,2
275,1
21,2
137,5
165,3
33,2
92,4
229,1
361,1
65,13
97,7
324,1
317,1
188,1
53,7
169,5
141,3
109,8
256,2
124,3
77,3
193,2
212,1
96,4
173,2
13,3
129,3
41,5
134,1
73,10
128,3
237,1
105,6
2,1
205,3
508,1
166,2
32,6
34,4
148,1
45,6
161,3
64,5
180,6
296,1
17,1
149,4
176,2
22,6
44,4
291,1
59,10
118,3
281,2
204,1
27,8
71,11
391,2
54,11
144,1
49,4
236,2
181,2
86,7
159,1
187,4
172,1
113,3
219,2
274,1
81,3
230,1
76,11
245,1
39,1
98,6
303,1
208,1
367,2
103,4
140,3
91,6
66,6
155,2
198,3
108,3
130,3
223,1
135,3
299,1
267,1
80,7
35,9
162,2
531,1
112,8
516,1
342,1
123,9
194,3
145,5
48,14
63,3
18,3
150,3
414,1
95,3
263,1
50,6
67,5
199,1
1813,1
182,1
16,1
127,4
338,1
359,1
31,6
11,1
72,11
175,3
143,3
43,6
250,1
231,1
99,5
87,8
203,2
218,2
104,9
319,1
40,11
26,6
258,2
158,1
351,1
390,1
186,1
55,7
114,8
171,1
139,2
23,5
75,4
119,3
58,6
235,2
207,2
272,1
536,1
82,5
214,1
36,9
168,7
262,2
146,1
30,7
51,10
190,2
183,1
19,4
305,1
210,1
107,4
239,1
242,1
4,1
294,1
126,3
136,1
341,1
358,1
79,6
195,1
437,1
94,12
283,3
464,1
131,2
47,2
15,2
163,1
200,1
68,8
62,7
178,3
277,2
369,1
90,9
111,5
122,5
354,1
83,3
935,1
215,1
222,1
232,3
100,5
