nGram,frequency
69,3
101,1
249,3
234,2
0,145
88,2
1406,1
115,3
5,10
120,4
10,16
1788,1
385,1
384,1
56,6
142,2
715,1
1063,1
174,1
1196,1
42,7
24,9
37,7
25,10
257,1
389,1
52,6
14,9
184,1
110,2
619,1
125,3
196,2
189,1
20,12
46,4
93,3
325,1
289,1
57,6
78,4
29,5
179,1
211,1
106,2
121,2
84,6
147,3
280,1
61,2
221,1
132,2
89,1
133,1
116,3
428,1
1,5
206,1
6,16
248,2
60,2
117,2
85,3
366,1
102,1
334,1
28,6
38,6
160,2
70,8
407,1
275,1
21,10
137,1
165,1
815,1
33,14
92,3
229,2
252,1
197,2
65,4
97,6
461,1
224,1
156,3
403,1
9,9
1096,1
53,2
169,1
141,1
109,3
124,2
225,1
77,3
554,1
212,2
96,3
393,1
13,8
129,1
41,5
134,3
73,5
128,3
105,2
2,6
266,1
205,2
32,6
34,9
148,3
45,7
161,1
279,2
64,8
17,11
149,1
176,2
22,8
44,9
59,6
118,3
27,9
71,4
12,3
54,8
313,1
49,1
181,1
86,5
159,1
187,2
406,1
113,5
81,5
230,1
76,3
7,10
318,1
39,8
98,3
208,1
140,2
91,2
66,1
240,1
251,2
155,2
198,1
108,3
455,1
223,1
306,2
135,1
3,15
241,1
80,6
167,4
35,5
473,1
162,2
648,1
209,1
112,3
123,4
1181,1
48,4
63,5
1025,1
18,15
150,1
95,8
50,8
67,3
177,2
182,2
16,9
127,6
31,11
154,1
600,1
11,7
72,5
43,5
99,4
539,1
87,3
104,2
319,1
40,5
26,10
158,1
186,1
55,6
114,2
171,3
23,12
8,12
75,2
119,1
58,2
246,1
207,2
82,3
151,1
300,1
315,1
410,1
36,1
168,1
262,2
146,2
30,4
51,5
190,1
183,2
19,4
422,1
210,1
326,1
107,2
4,9
126,2
136,3
79,7
94,2
283,1
131,7
47,5
15,8
163,1
200,1
68,3
62,13
178,1
277,1
90,4
111,1
254,1
227,1
122,2
354,1
83,5
215,2
676,1
232,1
100,3
