fileName,count
1793845.txt,54
1799184.txt,67
1800132.txt,34
1806218.txt,0
1807021.txt,461
1807334.txt,56
1808071.txt,27
1820564.txt,4
1820593.txt,212
1820943.txt,15
1826742.txt,80
1826854.txt,0
1827840.txt,15
1828924.txt,43
1829720.txt,21
1830347.txt,25
1831015.txt,44
1831243.txt,8
1838366.txt,0
1852800.txt,34
1853079.txt,17
1853087.txt,117
1853396.txt,105
1856373.txt,230
1858246.txt,21
1858283.txt,384
1859459.txt,0
1859478.txt,18
1860190.txt,21
1860524.txt,73
1872121.txt,0
1872243.txt,50
1872272.txt,10
1872702.txt,37
1873539.txt,205
1879760.txt,70
1880198.txt,223
1884745.txt,29
1884762.txt,31
1884793.txt,52
1885452.txt,109
1885603.txt,20
1886179.txt,41
1886306.txt,84
1886713.txt,12
1891300.txt,171
1891944.txt,154
1892427.txt,0
1892633.txt,128
1892637.txt,0
1894958.txt,45
1895038.txt,85
1895692.txt,334
1896360.txt,25
1896904.txt,146
1896950.txt,174
1899479.txt,28
1900435.txt,110
1900504.txt,1
1900547.txt,3
1901089.txt,72
1901155.txt,178
1901585.txt,1
1901856.txt,54
1901966.txt,80
1902236.txt,18
1903959.txt,116
1904589.txt,95
1905017.txt,1
1905535.txt,114
1906064.txt,62
1907006.txt,62
1907122.txt,155
1908768.txt,0
1908858.txt,16
1909615.txt,0
1910887.txt,167
1911854.txt,158
1914186.txt,79
1915542.txt,6
1916288.txt,77
1917341.txt,15
1917432.txt,186
1917836.txt,200
1919432.txt,183
1920163.txt,45
1920445.txt,2
1920474.txt,23
1920867.txt,114
1921588.txt,0
1922315.txt,59
1923907.txt,49
1925070.txt,136
1925642.txt,62
1925671.txt,0
1926725.txt,0
1926736.txt,70
1926780.txt,54
1926861.txt,6
1927207.txt,142
1927303.txt,39
1928118.txt,0
1928222.txt,43
1929142.txt,91
1930002.txt,0
1930486.txt,14
1930499.txt,31
1931186.txt,95
1932772.txt,51
1932784.txt,83
1934074.txt,21
1935911.txt,0
1936490.txt,107
1936749.txt,95
1936757.txt,30
1936958.txt,18
1937970.txt,24
1938037.txt,97
1939464.txt,44
1939474.txt,86
1939764.txt,14
1942635.txt,80
1944400.txt,0
1944719.txt,79
1944810.txt,117
1945005.txt,56
1947273.txt,44
1947510.txt,91
1949421.txt,13
1953370.txt,4
1954238.txt,113
1955265.txt,19
1955754.txt,182
1956538.txt,127
1957000.txt,147
1957948.txt,22
1958383.txt,92
1958694.txt,289
1960279.txt,31
1961069.txt,72
1961469.txt,70
1961491.txt,44
1962861.txt,715
1964676.txt,72
1965588.txt,17
1966001.txt,0
1966719.txt,619
1967000.txt,115
1967242.txt,77
1967335.txt,132
1968093.txt,127
1968922.txt,34
1969362.txt,2
1969741.txt,25
1970335.txt,34
1970938.txt,79
1971208.txt,0
1972184.txt,63
1972510.txt,129
1974806.txt,17
1974915.txt,0
1974949.txt,87
1976229.txt,0
1976968.txt,8
1978637.txt,0
1978929.txt,9
1978988.txt,0
1979997.txt,8
1981673.txt,78
1982651.txt,11
1984407.txt,0
1984721.txt,18
1985263.txt,16
1985581.txt,131
1987123.txt,17
1988614.txt,48
1988645.txt,3
1990766.txt,0
1992738.txt,0
1995368.txt,50
1996026.txt,42
1996996.txt,15
1997424.txt,50
1997661.txt,89
1997956.txt,44
1998183.txt,156
1999025.txt,59
2001920.txt,67
2002817.txt,35
2003025.txt,15
2003183.txt,71
2003494.txt,78
2004617.txt,0
2004832.txt,428
2005372.txt,0
2011108.txt,325
