nGram,frequency
69,8
629,1
138,2
101,6
909,1
234,1
88,6
170,1
115,4
217,2
276,1
308,1
120,2
247,1
10,2
385,1
56,6
142,4
153,1
185,1
42,6
709,1
24,2
288,1
301,1
320,1
37,5
25,8
257,1
52,6
14,4
110,4
196,1
157,3
20,3
46,5
93,3
284,1
1741,1
325,1
152,1
228,1
289,1
57,2
78,9
29,6
216,1
164,4
179,3
211,2
106,5
238,1
121,5
348,1
84,5
147,2
61,8
396,1
89,2
133,3
116,4
1,1
74,9
206,4
292,1
6,2
248,1
60,3
117,4
85,12
366,1
102,6
28,9
38,10
160,1
392,1
70,4
192,2
407,1
21,8
137,5
165,2
33,8
92,7
229,1
252,1
197,1
361,1
65,11
97,3
224,1
9,1
188,2
53,9
169,3
141,1
109,2
256,1
124,1
225,1
77,7
193,1
212,1
96,6
393,1
13,7
129,7
41,8
134,3
73,4
128,4
237,1
105,4
360,1
205,1
311,1
586,1
298,2
513,1
166,1
32,6
34,5
148,2
264,1
45,11
64,10
180,2
17,9
149,2
176,3
191,1
22,3
44,14
843,1
286,1
59,5
118,3
204,2
27,7
71,6
12,1
54,9
144,4
498,2
49,14
466,1
181,3
86,5
159,1
604,1
187,2
172,1
113,8
219,2
274,1
81,8
76,8
7,3
245,2
39,6
434,1
98,2
303,1
208,1
103,8
140,4
91,3
66,6
240,1
251,2
155,4
108,5
330,2
130,4
768,1
278,2
223,1
135,4
241,2
80,9
167,3
35,16
162,2
209,2
112,1
123,4
194,3
145,3
48,14
557,1
63,7
640,1
295,1
18,3
150,3
95,5
739,1
50,8
67,8
1432,1
177,3
182,3
441,1
16,9
127,3
338,1
359,2
31,6
154,5
11,3
72,5
175,1
143,7
43,7
231,2
99,7
87,10
203,3
218,1
104,3
319,1
40,12
26,4
946,1
158,3
186,3
55,6
114,3
171,1
139,3
23,8
8,3
75,5
119,2
58,7
207,1
82,5
214,2
287,1
151,4
447,1
315,1
36,10
168,2
262,1
146,2
30,6
51,6
190,5
19,6
273,1
373,1
305,1
210,2
107,6
239,1
294,1
126,2
136,2
79,7
195,1
437,1
94,1
283,1
415,2
332,1
131,7
47,6
15,9
163,1
200,1
68,5
62,6
178,3
90,2
111,1
227,1
337,1
122,3
83,10
309,1
215,1
560,1
222,2
364,1
100,3
