fileName,count
1793845.txt,96
1799184.txt,76
1800132.txt,11
1806218.txt,77
1807021.txt,256
1807334.txt,190
1808071.txt,176
1820564.txt,146
1820593.txt,203
1820943.txt,130
1826742.txt,29
1826854.txt,61
1827840.txt,126
1828924.txt,22
1829720.txt,34
1830347.txt,91
1831015.txt,36
1831243.txt,60
1838366.txt,101
1852800.txt,55
1853079.txt,122
1853087.txt,33
1853396.txt,35
1856373.txt,209
1858246.txt,32
1858283.txt,96
1859459.txt,35
1859478.txt,40
1860190.txt,45
1860524.txt,19
1872121.txt,182
1872243.txt,136
1872272.txt,44
1872702.txt,88
1873539.txt,55
1879760.txt,25
1880198.txt,208
1884745.txt,65
1884762.txt,64
1884793.txt,103
1885452.txt,149
1885603.txt,197
1886179.txt,133
1886306.txt,72
1886713.txt,35
1891300.txt,150
1891944.txt,59
1892427.txt,147
1892633.txt,48
1892637.txt,21
1894958.txt,278
1895038.txt,150
1895692.txt,217
1896360.txt,52
1896904.txt,13
1896950.txt,90
1899479.txt,15
1900435.txt,7
1900504.txt,28
1900547.txt,164
1901089.txt,44
1901155.txt,155
1901585.txt,105
1901856.txt,41
1901966.txt,1432
1902236.txt,215
1903959.txt,289
1904589.txt,129
1905017.txt,151
1905535.txt,65
1906064.txt,61
1907006.txt,63
1907122.txt,17
1908768.txt,245
1908858.txt,164
1909615.txt,946
1910887.txt,292
1911854.txt,130
1914186.txt,48
1915542.txt,92
1916288.txt,116
1917341.txt,131
1917432.txt,117
1917836.txt,99
1919432.txt,63
1920163.txt,178
1920445.txt,45
1920474.txt,14
1920867.txt,66
1921588.txt,28
1922315.txt,87
1923907.txt,44
1925070.txt,86
1925642.txt,131
1925671.txt,38
1926725.txt,30
1926736.txt,44
1926780.txt,117
1926861.txt,8
1927207.txt,155
1927303.txt,49
1928118.txt,42
1928222.txt,28
1929142.txt,23
1930002.txt,35
1930486.txt,87
1930499.txt,212
1931186.txt,288
1932772.txt,178
1932784.txt,303
1934074.txt,76
1935911.txt,155
1936490.txt,62
1936749.txt,144
1936757.txt,43
1936958.txt,283
1937970.txt,145
1938037.txt,83
1939464.txt,102
1939474.txt,53
1939764.txt,108
1942635.txt,166
1944400.txt,154
1944719.txt,58
1944810.txt,68
1945005.txt,629
1947273.txt,191
1947510.txt,109
1949421.txt,110
1953370.txt,102
1954238.txt,54
1955265.txt,19
1955754.txt,158
1956538.txt,182
1957000.txt,84
1957948.txt,298
1958383.txt,131
1958694.txt,434
1960279.txt,60
1961069.txt,62
1961469.txt,59
1961491.txt,61
1962861.txt,273
1964676.txt,53
1965588.txt,133
1966001.txt,56
1966719.txt,88
1967000.txt,137
1967242.txt,32
1967335.txt,168
1968093.txt,96
1968922.txt,85
1969362.txt,102
1969741.txt,15
1970335.txt,101
1970938.txt,91
1971208.txt,78
1972184.txt,28
1972510.txt,16
1974806.txt,119
1974915.txt,113
1974949.txt,73
1976229.txt,284
1976968.txt,36
1978637.txt,768
1978929.txt,41
1978988.txt,81
1979997.txt,33
1981673.txt,229
1982651.txt,33
1984407.txt,63
1984721.txt,95
1985263.txt,27
1985581.txt,129
1987123.txt,48
1988614.txt,38
1988645.txt,170
1990766.txt,21
1992738.txt,45
1995368.txt,40
1996026.txt,20
1996996.txt,46
1997424.txt,106
1997661.txt,909
1997956.txt,55
1998183.txt,67
1999025.txt,77
2001920.txt,115
2002817.txt,187
2003025.txt,17
2003183.txt,286
2003494.txt,211
2004617.txt,27
2004832.txt,54
2005372.txt,214
2011108.txt,49
2011213.txt,181
2013034.txt,103
2013171.txt,45
2013902.txt,188
2014250.txt,172
2016124.txt,98
2016170.txt,95
2018070.txt,311
2018134.txt,604
2018701.txt,69
2018774.txt,50
2019465.txt,151
2019790.txt,42
2019996.txt,48
2020694.txt,74
2020729.txt,25
2024321.txt,15
2024620.txt,54
2026741.txt,78
2027675.txt,240
2028230.txt,40
2029343.txt,33
2029880.txt,43
2029920.txt,72
2031183.txt,31
2031518.txt,80
2032705.txt,39
2032814.txt,32
2033244.txt,112
2033742.txt,104
2034371.txt,39
2034848.txt,77
2034929.txt,87
2035604.txt,138
2035778.txt,179
2036155.txt,115
2036158.txt,82
2036638.txt,69
2037501.txt,35
2037567.txt,29
2038727.txt,107
2039117.txt,70
2041795.txt,70
2042810.txt,85
2043765.txt,66
2045380.txt,122
2045486.txt,145
2046438.txt,158
2046614.txt,60
2048101.txt,8
2049182.txt,79
2049250.txt,133
2049910.txt,361
2051262.txt,74
2051625.txt,77
2051678.txt,330
2051833.txt,211
2051865.txt,25
2054082.txt,79
2054503.txt,50
2056132.txt,205
2056741.txt,37
2057120.txt,22
2058808.txt,36
2059022.txt,319
2059632.txt,148
2060045.txt,85
2060176.txt,196
2061938.txt,52
2062334.txt,10
2062419.txt,98
2062670.txt,110
2063943.txt,103
2065121.txt,31
2065445.txt,75
2065812.txt,175
2065880.txt,204
2067104.txt,59
2069238.txt,46
2069509.txt,127
2073531.txt,158
2074386.txt,67
2074459.txt,28
2074844.txt,190
2075304.txt,105
2076777.txt,83
2076836.txt,167
2078636.txt,142
2079105.txt,96
2079703.txt,118
2080305.txt,16
2080776.txt,35
2080880.txt,38
2081195.txt,99
2081587.txt,25
2084163.txt,71
2084378.txt,103
2084750.txt,86
2084854.txt,41
2085203.txt,66
2085316.txt,114
2091296.txt,92
2091326.txt,92
2091519.txt,31
2091538.txt,53
2092090.txt,52
2093678.txt,87
2093827.txt,81
2095585.txt,47
2096348.txt,393
2098403.txt,63
2098525.txt,17
2099266.txt,85
2099440.txt,58
2100649.txt,87
2103075.txt,108
2104067.txt,48
2104201.txt,23
2106761.txt,99
2106847.txt,78
2106981.txt,159
2107776.txt,332
2110108.txt,113
2111311.txt,7
2113094.txt,168
2114581.txt,139
2114860.txt,48
2115690.txt,34
2116900.txt,251
2116984.txt,16
2117614.txt,498
2119206.txt,35
2120093.txt,305
2122325.txt,49
2122503.txt,128
2122530.txt,73
2125646.txt,64
2125779.txt,21
2126129.txt,56
2126639.txt,74
2126844.txt,76
2127830.txt,15
2128404.txt,41
2129099.txt,114
2129299.txt,217
2129649.txt,176
2129881.txt,78
2129927.txt,62
2130611.txt,83
2130826.txt,21
2131199.txt,121
2131386.txt,65
2131633.txt,137
2131906.txt,47
2132760.txt,68
2132784.txt,43
2135537.txt,140
2136079.txt,251
2137826.txt,89
2138002.txt,64
2140331.txt,51
2142442.txt,29
2143197.txt,83
2144914.txt,46
2145638.txt,137
2145743.txt,29
2145914.txt,228
2146173.txt,30
2148682.txt,71
2149762.txt,498
2151234.txt,45
2152522.txt,7
2153305.txt,48
2154133.txt,39
2158889.txt,76
2159838.txt,90
2159920.txt,140
2159998.txt,194
2160144.txt,136
2160285.txt,141
2160491.txt,36
2160586.txt,49
2162805.txt,181
2165329.txt,187
2166091.txt,186
2166765.txt,103
2166912.txt,68
2167206.txt,53
2167544.txt,241
2167572.txt,66
2168289.txt,154
2168635.txt,48
2170609.txt,262
2171473.txt,25
2171602.txt,147
2172399.txt,39
2172668.txt,97
2172861.txt,203
2175874.txt,64
2176512.txt,101
2177098.txt,74
2178355.txt,61
2178733.txt,93
2179482.txt,1
2182261.txt,86
2182916.txt,50
2183238.txt,69
2183335.txt,113
2183412.txt,82
2184664.txt,76
2184825.txt,128
2185675.txt,16
2185765.txt,177
2187666.txt,164
2190813.txt,71
2190850.txt,81
2190967.txt,135
2191388.txt,83
2191858.txt,164
2192281.txt,27
2193002.txt,78
2195035.txt,115
2195427.txt,131
2196654.txt,104
2196849.txt,44
2197724.txt,88
2198713.txt,27
2198727.txt,38
2201332.txt,75
2201522.txt,206
2204538.txt,129
2204860.txt,36
2205118.txt,143
2205269.txt,113
2205410.txt,91
2205695.txt,207
2206129.txt,53
2206335.txt,28
2206356.txt,154
2206517.txt,15
2206786.txt,48
2206802.txt,214
2207794.txt,36
2207998.txt,42
2208274.txt,23
2208676.txt,188
2209019.txt,49
2209081.txt,21
2209725.txt,30
2210225.txt,43
2210432.txt,12
2211146.txt,248
2212542.txt,66
2212604.txt,586
2213312.txt,40
2213502.txt,640
2216750.txt,46
2217141.txt,17
2217188.txt,61
2218666.txt,81
2219431.txt,48
2219683.txt,103
2220647.txt,20
2220783.txt,82
2222355.txt,144
2224835.txt,93
2225489.txt,86
2226007.txt,190
2226084.txt,165
2226821.txt,92
2227648.txt,45
2230992.txt,67
2231077.txt,75
2234708.txt,93
2234896.txt,118
2236365.txt,178
2236747.txt,301
2240557.txt,53
2241433.txt,115
2241490.txt,40
2241556.txt,87
2242277.txt,466
2243339.txt,56
2243575.txt,79
2243688.txt,142
2244144.txt,65
2244511.txt,18
2244753.txt,72
2246202.txt,92
2249618.txt,74
2249693.txt,245
2253829.txt,113
2253955.txt,144
2255476.txt,169
2255494.txt,69
2256835.txt,23
2257409.txt,74
2257517.txt,123
2257993.txt,513
