nGram,frequency
69,4
629,1
101,3
333,2
1031,1
249,1
518,1
468,1
234,1
0,165
88,3
481,1
352,1
170,2
523,1
115,3
217,1
1569,1
5,2
449,1
120,1
247,1
511,1
202,2
861,1
10,6
4543,1
533,1
142,2
472,1
747,1
340,1
153,2
174,1
1095,1
185,1
24,4
301,1
320,1
37,1
1482,1
25,2
257,1
389,1
52,2
14,5
372,2
110,1
125,4
357,2
196,2
460,1
20,2
46,3
969,1
93,3
606,1
1572,1
284,1
416,1
152,3
289,1
448,2
57,5
78,3
261,1
1232,1
29,6
216,2
164,2
789,1
179,3
211,4
646,1
253,1
106,3
121,3
84,3
480,1
602,2
147,1
397,1
280,1
1215,1
61,5
692,1
734,1
293,1
132,3
396,1
89,2
133,2
411,2
116,1
243,2
1,3
527,1
74,3
206,3
307,1
292,1
452,1
6,11
248,1
60,4
117,1
678,1
546,1
85,1
220,1
102,6
1223,1
746,1
1123,1
28,6
38,5
160,2
297,2
70,2
429,1
275,1
21,3
137,1
33,3
92,1
229,1
566,1
252,1
197,1
65,2
97,2
329,1
522,1
461,1
682,1
551,1
285,3
224,2
519,1
317,1
156,1
9,1
388,1
53,8
356,2
169,1
141,2
499,1
109,2
471,1
256,1
488,1
124,4
225,2
339,1
77,3
554,1
1182,1
193,4
1075,1
489,2
212,1
96,6
1588,1
738,1
1131,1
173,2
13,5
129,2
569,1
41,4
503,1
134,3
73,4
128,1
343,1
237,2
105,2
2,6
266,2
360,1
398,1
674,1
794,1
662,1
298,1
425,1
430,2
1219,1
166,2
32,4
34,3
148,2
264,1
45,1
161,2
64,1
180,2
17,6
149,3
601,1
562,1
176,1
191,2
22,2
44,2
286,1
1652,1
711,2
59,1
118,1
281,1
27,3
413,1
71,5
12,2
382,1
54,6
572,1
313,2
144,1
49,3
1090,1
236,1
181,2
350,1
86,5
159,4
764,1
406,1
172,2
113,2
274,1
784,1
419,1
81,5
377,1
76,5
7,8
39,3
649,1
98,2
616,1
208,1
599,1
345,1
367,1
552,1
103,3
323,3
140,2
91,2
483,1
66,4
240,2
251,1
964,1
626,1
155,4
198,3
108,4
330,2
462,1
1198,1
130,2
827,1
636,2
223,1
135,1
299,3
3,5
267,2
505,1
241,2
80,3
653,1
167,3
35,2
473,2
209,1
112,1
123,3
355,1
553,3
823,1
194,1
145,2
48,5
580,1
690,1
63,2
1025,1
295,2
18,4
150,1
414,1
95,2
327,5
739,1
409,1
263,1
310,2
50,3
67,5
199,3
177,2
791,1
182,3
331,2
16,3
585,1
127,4
470,2
31,3
1284,1
2145,1
11,8
72,3
175,1
314,1
143,1
43,5
250,1
465,1
231,2
99,4
363,1
87,5
203,1
688,2
104,5
368,1
588,1
40,6
26,2
258,1
351,1
186,2
55,5
171,1
139,1
418,2
23,4
8,2
75,3
58,2
378,1
235,1
246,1
207,4
478,1
272,3
684,1
82,3
287,1
447,1
315,1
36,6
168,1
262,2
146,4
30,3
51,1
190,1
183,1
19,7
210,1
326,2
239,1
4,2
294,1
126,4
918,1
136,2
341,1
506,1
268,4
79,2
195,1
474,1
635,1
94,1
283,2
728,1
332,1
427,1
723,1
131,2
47,5
15,7
163,1
200,1
68,3
62,2
178,4
277,2
691,1
442,1
1399,1
369,2
90,4
111,2
322,2
337,1
122,2
1367,1
83,1
1009,1
543,1
222,2
454,2
364,1
232,3
100,5
