nGram,frequency
69,8
138,3
101,8
479,2
333,1
249,3
88,8
170,2
115,12
120,5
247,1
202,2
56,14
142,2
153,3
185,2
42,9
24,7
37,12
25,8
257,1
52,9
14,1
184,2
504,1
110,4
125,3
344,1
196,5
157,2
189,1
20,2
46,12
93,5
284,1
152,2
228,1
57,17
78,6
29,5
216,1
164,2
179,2
211,1
253,1
106,2
238,2
121,5
84,13
147,1
280,1
61,14
221,1
132,3
133,2
116,6
243,1
265,1
312,3
74,9
233,1
6,1
60,7
117,4
85,10
201,1
102,8
302,1
28,4
38,6
160,4
70,12
192,2
275,1
21,8
165,3
33,7
92,7
229,2
197,2
361,1
65,7
97,6
329,1
285,1
156,4
53,10
141,2
109,8
124,6
77,6
212,6
96,6
173,3
13,1
129,4
41,5
134,3
73,7
128,2
343,1
105,5
266,1
205,1
166,3
32,6
34,8
148,3
45,5
161,1
279,1
64,6
180,3
17,4
149,1
176,3
423,1
191,2
22,3
44,7
59,15
118,5
27,1
71,9
12,3
54,12
144,3
49,15
335,1
236,1
181,1
86,9
187,2
172,1
113,6
219,1
81,12
76,8
245,1
39,10
98,3
367,1
103,4
140,3
213,1
91,5
66,13
155,3
198,1
108,4
130,3
135,3
226,1
3,1
438,1
241,1
80,5
167,3
35,9
162,1
255,1
209,2
112,2
123,3
194,2
48,11
63,6
18,2
150,1
95,3
263,1
310,1
50,7
67,10
199,1
177,1
182,1
16,3
127,3
31,7
154,2
11,3
72,10
175,2
143,2
43,3
250,1
99,7
87,4
203,1
524,1
218,1
104,4
40,6
26,4
158,3
351,1
186,1
55,10
114,4
171,3
139,3
23,2
8,1
75,7
119,3
58,13
235,1
82,11
214,1
151,1
300,1
36,7
168,1
146,2
30,6
51,14
190,2
19,1
273,1
373,1
564,1
210,1
107,5
239,2
294,1
126,4
136,5
79,5
94,2
332,1
131,3
47,10
15,3
163,1
200,2
68,7
62,8
178,1
277,1
90,3
111,3
254,1
227,1
337,1
122,5
83,3
222,2
100,7
