android,swing,swift,pel,matlab
-53182.152148522546,-119402.51514739086,-74904.18213402182,-20865.33269785074,-20660.518944629206
-25983.922926423307,-16717.99148773435,-45394.305508627,-81564.03578211655,-59953.048974426696
-20883.215951746897,-87485.79508987462,-157132.6496308849,-27279.22440052806,-64529.31227238463
-18426.259057159587,-56689.83373679548,-4618.276688554208,-58219.41794753972,-14372.551923080782
-39356.79276554403,-66909.09435032046,-25766.721802138512,-59738.57176390414,-34582.217681255715
-76207.92678756299,-178986.20501446363,-81053.62277447613,-234514.64412749241,-30026.892162661417
-169974.7776460056,-47938.11120860564,-286707.4011159014,-108091.70697976125,-19376.473267578225
-6396.533277790848,-9406.280167207133,-142574.87311588493,-63886.31533121807,-49991.78696520765
-45056.195271246834,-37864.26360189011,-84627.47643963319,-37752.64453699313,-32450.875562436897
-32106.897471100874,-126610.74752709006,-193713.83106665727,-51694.32891465229,-67266.82533677602
-19399.744897248256,-89205.06102939759,-54715.1013038772,-135726.73221020203,-127266.15120798885
-85512.7635645145,-17368.878012440404,-671316.7018723594,-74892.26051250719,-70623.08064931522
-136285.93041656527,-49007.160888555736,-22422.57545998042,-41460.09229233061,-32436.613524461372
-81373.62440195726,-25476.4031218452,-239824.754471254,-53946.911474204244,-24544.392299707306
-67706.87284442183,-77227.78653501565,-40369.03869381931,-183169.81602925077,-83781.67564209772
-51513.449170676875,-298078.7717304941,-18345.03819052362,-66029.35684946946,-20526.474439104677
-9837.318574825224,-47321.799989497915,-27791.179106569445,-32158.201836427055,-108535.11936765908
-11819.940514744205,-17096.899953748936,-94634.76824350872,-24324.03963240219,-37832.176683076956
-18459.174191085116,-27165.811312421745,-153750.28871995315,-58436.152513954316,-129205.89603916762
-59588.54631225279,-193013.5629255903,-528431.8422375293,-48748.764847970546,-9402.266897931648
-33843.024682575226,-45890.2848955452,-135505.60903357016,-402887.2472384161,-26918.70576161439
-50300.74422391286,-107254.93577475118,-92307.50678271322,-22123.820506245283,-27038.497706067687
-249700.46341069444,-52313.013757081324,-137565.11586110792,-10106.365495878825,-14753.988356090586
-75763.69599589822,-42139.46339373474,-66756.60662213017,-86986.02258229234,-48993.52587685611
-85942.09400140145,-108716.83652760604,-920391.8788551042,-102776.75777452462,-25281.736784249733
-11461.328052270941,-149553.52481679537,-741105.395491529,-65647.12800858912,-16888.090582987865
-39997.26382107401,-158394.5527648647,-405611.70279187453,-71591.90598963742,-29076.555187590537
-67242.44867847381,-196738.52089544435,-38886.9025010392,-79480.89954219776,-56747.29017084212
-77787.51051692035,-34181.257745016905,-74178.58515104202,-58765.65755827683,-22798.071682582377
-45145.573551035304,-54456.2548232196,-117415.75484298244,-23049.652966457405,-132526.39552854633
