android,swing,java,javascript
-218.9501211112392,-371.16673662570116,-324.93635561384565,-161.52862942160542
-154.9908789726056,-300.20939415884476,-215.2245871270851,-157.50553910623756
-184.90427233241095,-232.92893810289482,-135.2461925861946,-222.18792331680865
-152.77329565513418,-193.60363383754316,-423.63293590411274,-92.63507863419656
-193.67644762510787,-129.2613589283151,-178.7910335528491,-129.61037637117553
-128.94324823264827,-202.43192357524816,-239.3994336133091,-120.36344849639684
-64.70458813943367,-117.78677053721839,-211.18492568049112,-147.74454991099026
-167.47196303017301,-285.463984401066,-328.51816310081176,-84.72232534587133
-98.59582281070487,-359.25680481630644,-367.53251181620715,-219.6035185212191
-187.2331430243621,-146.28203119584097,-250.19311157075944,-104.3494288896764
-135.63912575028644,-121.7065411396372,-224.41516154339354,-80.3895028251828
-205.44616948676548,-170.45860742766848,-252.40998407868665,-77.77929931910413
-281.5228689620162,-239.2747786786494,-265.4547466012493,-48.11366810368145
-271.8344120194271,-162.22292813199184,-276.5792862959702,-75.71530215861593
-137.44699562986577,-360.71279851606334,-234.3256283236413,-103.41704356526859
-221.96407473782762,-171.49007485275752,-334.6183911311315,-96.41577514437435
-247.31143076239408,-187.48585465380373,-201.44951682316827,-156.16327654148267
-272.5261903856234,-322.4659040668902,-391.71943220545535,-108.69110102590346
-99.18038173306958,-209.18689864187547,-279.57200934551804,-65.67623681842562
-157.57932713308355,-224.58333296328453,-231.87228988001144,-140.6643834218226
-193.19394820673722,-279.5830622074156,-274.2110754486199,-141.51541035120704
-240.92929597897302,-195.6622643000528,-231.99405554908674,-129.16395470131022
-259.5449412155097,-195.73438055457876,-206.48232422616587,-153.63250175220145
-93.40152046369309,-230.14714436452505,-282.6182869332529,-158.18890751273074
-112.56263746754713,-231.5846954469365,-276.52952360450314,-131.14872352902594
-161.7697825931041,-209.01658404954503,-406.91310406242405,-116.81455759603996
-167.13058793416948,-250.35032324370098,-252.1277497234837,-119.94634349911055
-206.98497956763356,-244.3438334850659,-377.224964639272,-89.75833397887116
-167.0666295336623,-325.4718356904689,-310.8663539528069,-72.99160077513278
-152.68360392484854,-251.97255328462063,-276.6793171156728,-107.88199136757875
-266.5924894441312,-218.05926846814518,-155.13138061270288,-154.35171019738522
-177.89375056860345,-275.6641700050363,-312.9161024806661,-77.58314060771474
-161.94736266225357,-217.87397998424134,-175.85705642949696,-66.87978908800011
-142.61434457159982,-264.7361090721712,-282.145790794986,-178.25762821672683
-155.7416694356332,-255.549087748833,-284.5231115319104,-134.53566428444324
-199.73070876888661,-238.97153216034852,-207.93843866414724,-89.83237604101382
