android,swing,swift,pel,matlab
320,656,323,113,126
135,112,168,447,264
113,430,700,161,343
125,375,18,322,84
226,311,103,247,209
307,1014,393,1030,182
998,257,876,353,113
36,51,615,284,245
300,176,390,181,128
147,659,863,262,375
136,466,248,490,654
506,100,1670,336,364
608,306,110,210,151
500,179,786,209,155
316,206,182,847,430
228,1213,117,273,138
67,259,152,168,529
81,90,328,147,89
135,170,1066,253,775
414,747,2154,232,54
235,284,513,1341,174
213,462,381,130,151
1311,241,484,65,82
442,240,276,541,261
549,342,3218,523,129
82,698,1860,340,74
287,680,1200,307,142
262,768,127,380,285
373,151,302,269,141
270,267,450,156,730
381,338,721,96,251
539,216,477,595,421
780,713,1810,421,228
1017,730,86,763,297
81,210,424,180,103
443,307,709,82,567
304,503,145,411,51
237,174,614,501,314
691,423,467,631,130
276,281,449,114,116
615,412,345,238,88
129,379,898,220,254
150,196,199,379,1305
172,697,535,349,40
215,403,324,480,115
223,137,742,191,90
702,145,217,332,340
146,143,356,151,181
108,86,137,348,276
558,536,802,215,113
119,638,345,286,133
262,194,826,303,142
164,198,784,122,412
663,320,2441,125,420
556,593,401,92,236
369,222,169,269,91
277,807,434,506,117
134,626,403,48,151
332,192,799,66,27
174,805,949,89,99
84,763,1190,119,898
991,377,257,329,53
105,140,748,102,107
68,141,461,142,214
385,360,461,945,191
191,1488,290,261,238
304,261,213,113,227
276,549,609,130,151
239,1234,992,244,390
221,695,157,389,92
969,317,180,238,76
171,630,738,329,442
228,1258,218,46,233
375,248,45,204,333
493,124,563,528,686
55,349,395,187,153
404,842,625,149,150
333,544,130,292,351
550,454,1840,186,301
503,424,639,193,92
338,183,346,199,660
219,471,819,75,233
51,668,173,221,85
482,267,720,493,482
112,291,368,96,279
709,455,131,315,185
408,170,430,102,91
215,356,292,200,427
493,570,450,203,204
144,200,136,152,77
526,721,588,306,560
151,129,592,136,298
214,950,959,457,741
102,883,335,316,417
127,208,128,161,233
167,307,1728,259,108
625,759,72,321,160
305,1803,1765,850,501
1091,287,1476,156,520
668,559,690,392,139
384,912,650,242,213
222,638,1085,54,123
735,153,916,175,206
145,128,1972,108,679
333,81,900,258,590
930,169,434,256,164
690,644,977,628,139
396,128,123,117,719
753,667,877,181,28
1143,775,781,242,172
140,1771,1853,154,124
523,280,246,196,56
215,543,2629,179,144
255,880,93,454,495
105,557,323,322,608
308,112,190,325,91
148,821,146,288,247
765,560,157,400,162
290,76,476,478,131
132,669,448,279,280
134,200,1141,340,350
146,202,417,401,312
296,238,373,153,75
291,232,289,201,168
807,2056,47,468,64
288,401,137,220,103
123,403,100,223,152
110,542,483,117,392
254,1832,261,126,262
374,416,851,254,328
248,313,90,60,661
54,292,163,1012,194
302,131,44,168,37
249,261,101,528,205
699,417,24,314,273
138,237,96,1172,3370
68,544,333,101,72
108,810,1969,255,236
1605,434,2629,235,227
803,266,1811,122,83
779,2052,124,550,630
272,158,277,861,149
231,132,611,559,129
320,928,332,207,169
193,1084,521,308,86
282,318,310,187,491
284,131,183,48,353
386,64,160,69,142
382,182,2356,337,601
954,459,38,297,212
444,819,1451,157,148
233,67,5132,602,286
226,345,501,157,121
154,833,1834,76,49
214,237,301,194,111
410,525,108,226,341
576,189,264,398,161
292,217,80,491,116
572,196,88,80,44
773,337,83,116,804
189,352,285,69,153
345,294,162,246,124
245,177,339,327,375
645,218,140,217,572
158,759,226,656,114
43,71,180,211,344
744,649,97,464,115
188,534,449,258,109
1155,172,124,649,144
213,175,109,154,318
1181,136,122,215,36
258,465,2759,103,316
721,276,945,165,87
275,354,182,470,199
104,585,83,155,718
88,333,47,409,192
271,133,499,126,44
67,280,313,571,385
129,217,316,181,1423
240,381,898,69,280
385,2005,103,498,247
459,949,1289,223,54
199,229,569,129,429
1791,222,1312,1894,327
132,112,51,282,172
430,278,105,642,226
432,2360,147,246,295
519,729,217,461,970
466,691,383,517,251
407,296,252,338,180
168,313,1669,629,71
77,259,705,159,707
374,734,811,82,457
894,461,100,229,195
297,470,734,363,151
241,354,684,179,1551
707,1018,804,125,149
237,308,82,63,204
384,365,655,232,116
619,962,2627,232,279
147,523,582,155,83
349,306,163,244,104
172,315,199,357,174
249,105,246,501,135
320,291,230,172,68
509,544,1022,98,740
321,480,72,171,58
118,421,214,53,243
885,160,123,1111,126
611,275,2647,378,305
67,435,245,261,60
64,174,250,178,256
325,395,150,42,191
290,1014,472,854,380
523,443,536,345,116
211,478,303,317,134
329,818,580,259,116
346,1537,231,190,376
229,612,112,211,167
152,111,237,183,239
312,363,725,143,784
721,943,311,67,129
489,233,235,71,76
280,160,128,657,113
170,683,355,105,208
593,209,100,181,811
215,348,84,444,285
213,439,94,58,565
171,481,419,186,105
233,62,131,283,162
376,1139,204,290,524
162,167,1048,150,424
607,60,131,386,88
116,380,541,200,325
578,860,119,71,372
327,277,373,82,43
754,2114,312,74,120
151,695,168,176,1045
633,916,127,127,161
586,629,98,119,83
286,552,693,152,305
219,134,495,78,237
1896,280,85,82,254
540,215,1543,690,75
236,191,100,232,276
407,170,197,240,110
448,329,1262,301,215
1073,99,298,108,629
909,476,149,195,117
444,615,443,440,289
93,142,931,335,103
121,316,439,298,334
1770,291,339,157,339
151,590,408,748,303
1637,992,207,481,184
916,1636,106,976,237
337,291,250,208,70
104,286,170,368,950
474,427,235,364,197
169,302,526,483,162
236,112,142,333,173
602,277,163,148,244
95,1503,66,143,126
143,465,470,127,836
360,503,143,348,773
2004,341,2308,199,267
316,368,764,88,378
215,438,177,117,366
481,813,252,254,152
789,574,156,262,295
269,163,744,164,507
350,1048,208,414,118
423,190,64,110,202
1327,552,223,226,138
428,853,263,360,261
537,411,272,162,351
946,352,325,400,378
446,397,249,162,182
529,627,211,324,90
196,236,263,589,154
99,98,793,73,721
123,273,114,140,102
42,311,214,431,156
399,291,226,234,151
301,237,170,405,97
438,287,276,294,347
278,855,243,888,324
535,496,196,266,329
473,853,421,130,247
699,339,243,274,92
81,358,1698,466,161
349,334,549,334,212
373,625,227,84,318
1523,452,273,481,208
197,820,109,161,153
312,117,114,475,228
93,126,1881,407,358
374,254,418,342,183
267,402,87,87,217
516,173,211,679,217
95,125,298,108,104
312,443,715,387,492
1317,269,147,383,54
1228,454,133,373,108
287,578,195,244,79
108,90,963,495,126
197,688,127,56,631
169,140,182,212,130
1021,331,377,740,90
333,352,206,926,286
133,633,442,107,106
929,292,885,144,72
257,260,423,110,628
117,1000,421,847,72
492,1779,1717,57,304
274,184,190,601,87
247,471,154,349,467
364,361,469,387,56
380,1277,819,159,44
523,646,99,172,429
254,224,309,100,341
598,522,36,383,401
946,200,284,87,419
435,435,1239,479,198
195,820,573,65,239
936,515,168,357,362
133,746,351,883,190
268,271,409,633,202
1576,231,192,187,190
404,167,490,253,354
437,148,1000,276,219
678,403,336,188,162
196,289,1232,389,187
136,571,240,130,301
202,172,473,670,354
676,506,239,360,224
1077,75,1194,350,119
178,340,421,399,299
170,101,228,152,245
211,152,414,270,335
182,529,107,307,146
221,544,623,163,111
308,343,609,330,339
221,541,700,288,461
141,573,1118,198,188
937,238,179,632,415
285,963,172,300,168
182,679,21,415,174
250,813,45,103,211
317,198,1372,96,200
65,811,382,168,652
94,725,511,74,106
428,465,63,419,159
448,493,338,190,257
217,513,382,144,313
646,300,949,194,223
236,526,286,208,146
168,152,1301,568,101
934,184,307,171,203
255,159,410,457,530
614,128,50,223,165
635,149,675,233,441
210,267,198,198,203
208,303,141,191,186
237,275,1178,311,130
392,154,197,112,118
320,174,246,174,299
386,134,337,91,131
