androidNL,swingNL,javaNL,javascriptNL
-1540.5755299201808,-1154.9615887836533,-1148.5019867824722,-1120.181012255168
-1291.1390503649275,-1074.0528584493063,-1264.8949938534715,-1258.6963512756738
-1124.2860604040497,-1124.8414398552666,-961.7528827819884,-1113.8836308502766
-1209.6269625091988,-901.0423813538551,-1273.5851414619292,-1290.6015447873763
-1180.6290077503058,-1248.7747890879632,-1240.2862037634618,-1257.177274963732
-1208.015046049706,-1261.8258212534593,-1231.4012927501042,-1340.372722092264
-1184.6606384039746,-1077.2952805689051,-1176.030233381805,-1145.56561074942
-1210.4654647428702,-1150.4696249949766,-1168.0292580987432,-1073.743945039415
-1170.8832435940747,-1172.702248998432,-1104.202149561475,-1305.078184177521
-1053.4283972504863,-1324.9441454697685,-1109.8591746173854,-1422.7541030090745
-1290.1454958666095,-1032.8757102231477,-1318.1358729827443,-1278.7544302735894
-1349.2313482070083,-1107.0114571917122,-1217.8235897319457,-1342.8311725501853
-1395.26510435719,-1140.8639910836216,-1205.8154548762898,-699.267186876581
-1063.344143174967,-1365.9256447873147,-1107.5800208207345,-1221.675873376369
-1007.955067272376,-1020.3212708689402,-1310.2523813767593,-792.5874945783421
-1016.7585516440618,-1053.9599135312453,-1253.1306131962688,-1236.4842430985634
-1169.5349714799397,-1077.6990175599192,-1181.955048555891,-1184.04215870566
-1386.4015817933146,-1010.9680403332577,-1371.1812805952795,-1239.0254604309616
-1314.0686052343945,-701.5438274884164,-1256.2992727357887,-1066.446190957714
-1113.0605107251927,-1205.1330984054418,-1434.7798997439495,-1117.5751885018071
-1374.593907503539,-1305.6524645177874,-1047.9821747078925,-1218.6325168297737
-941.5717786542023,-1080.191744101889,-1178.8782682876722,-1171.4266586773283
-1180.4328722872513,-1060.7076101644489,-1147.4371402156112,-1184.5932247792935
-1238.2881778828264,-989.0869491406283,-1055.7544798665976,-1218.286148984273
-1256.202479373606,-1004.806813774925,-1146.8632783644705,-1325.9816088293212
-1036.4847783447508,-1276.8703389874072,-1336.8570208993135,-1281.382111191609
-1281.4926532329678,-1252.031052622474,-1161.9627610638263,-1248.0626513768195
-1122.2023904594168,-1320.9192445923682,-1386.3397932542348,-1373.12158551961
-1240.0088200185105,-1183.6649369595868,-1118.5543219339743,-1247.968280041234
-1244.0703350438866,-1195.0525453005082,-1139.8577913962238,-1220.8320308988596
-1120.8787003586274,-1075.8634043603788,-1191.5611141782401,-1121.1653904154916
-1343.2960892190822,-1101.109096607489,-1051.6299202368339,-1136.92544993544
-1169.0464679860895,-1119.7286964224777,-1354.8964362981997,-1425.8859091866525
-1243.8162526886756,-1095.3305106065932,-1037.0852746962732,-1387.0279291850488
-1360.6151341727298,-1220.6674230272424,-1157.1725650857823,-1066.911660706462
-1193.3325807501044,-1154.6100373059498,-925.9309518416034,-1260.1569019113415
-1189.8523719694008,-1179.1486259447547,-1265.4243883763227,-1287.3852219230075
-1264.9759634117568,-942.3919206140746,-1135.4661377012562,-1097.5604102040377
-1060.1187732559938,-1210.4704853968042,-1175.1021045658704,-1007.0843273889855
-1197.5003433638283,-1011.7079577594588,-1064.9156528286644,-1079.3344724997403
-1378.4428928160094,-1168.8272996747614,-1174.5101802692927,-1236.2380544940052
-1067.8258745647931,-1052.9034006571517,-1363.8197707859788,-1341.9552452311978
-1231.446464563745,-1110.9943365573458,-1111.8228158009792,-1294.4518311011918
-1043.504941629104,-932.3546352469818,-1189.298304665891,-1134.7839336295717
-1341.5635357558433,-1079.1738521945,-1249.0895788862476,-1324.6548925110053
-1173.270822882196,-1060.4014036293488,-1287.2588149018038,-1340.2074602628438
-1163.9199923874587,-1018.0917794928737,-1290.7132983554923,-1110.1843613365509
-1286.948534350012,-1296.6033250630312,-1070.366275357737,-1109.8101172826682
-1260.4674994867055,-1034.2138787653503,-1117.7045067364206,-1170.9660649960692
-1485.660486353374,-1108.5093179214898,-1354.8687607798674,-1085.4624654371778
-1367.196409004666,-1448.4754087425563,-1346.6194652003571,-1209.638400569399
-1344.6716129259105,-1327.6884543948254,-1193.1431229673665,-1482.8984168192223
-1281.311498263847,-1140.7131433630889,-1032.834130638033,-1319.1458286945933
-1303.6228746862653,-1114.1276189763676,-1302.9285054569962,-1215.3642043354319
-1181.269044616463,-1110.264928761072,-1373.8325556441007,-1113.4962004120243
-1188.6370496998798,-1042.9282992088552,-1124.1262195469624,-1268.076109508044
-1343.7460681113657,-931.8464389031132,-1315.9302817620644,-930.8215953296999
-1074.4322553420045,-1151.73412019319,-1209.5688259628687,-1237.6562465752204
-1471.0123576373117,-1128.6077198022535,-1229.8128733298854,-1307.4102968967172
-1442.0931249092653,-954.8611686376977,-1172.9382423370123,-1325.1132649731335
-1326.7341067193236,-1259.7541367860526,-1196.9041919749438,-1229.7596170413062
-1221.3316580564883,-1075.8425090670937,-1305.0514279050478,-1196.7689950905394
-1293.4591500753227,-1101.7687212721426,-1052.2317721934392,-1258.4850372166484
-1104.8713372621876,-1191.1280889714217,-1123.0646176499179,-1308.574318664706
-1254.7090805144362,-1222.569667013551,-1327.437564200444,-1277.7729952365596
