androidNL,swingNL,javaNL,javascriptNL
-1044.4083112534067,-1137.5393529556995,-1443.0085560270072,-1153.5794040054968
-1093.915936328641,-1328.4782956623044,-1290.6361141322932,-1144.9740969055613
-1233.498320169269,-1372.5941645662447,-1219.74683077723,-1197.9112301763346
-1240.7087466748744,-994.7827808690057,-1266.2584807689118,-1027.8139743313236
-963.0854851997331,-1296.1662803647368,-1311.8543352674317,-906.3544363579108
-1299.261521337232,-1175.1309049755723,-1426.0079795763445,-862.7752957256221
-1351.981742826555,-1206.3239977299716,-1343.4681513565374,-979.1711542952773
-1043.2749827782718,-1328.4534019962384,-1363.4239547973275,-930.0013104037431
-1033.0478643018996,-1122.9625617021068,-1053.2233967197672,-1100.1966622488542
-1365.9078050409103,-1287.9630403233575,-1551.9181965731946,-1161.1944295339758
-1075.4830232978024,-1464.3592817801332,-1305.3633760119315,-1128.2721397005016
-1158.0456948229287,-1051.413992087967,-1352.286177102893,-1059.2865733250078
-1190.063077526319,-1302.0400310713928,-1236.3778503065778,-1195.2582350854373
-1344.630405533292,-1373.3621605202125,-1355.335781333975,-1008.6837993462377
-1043.60897961767,-1308.495872964908,-1339.0024162696952,-1062.6576139406416
-1162.21600836679,-1060.4639978855434,-1365.1378726026896,-1127.198888757754
-1348.8499235579816,-1219.0981549120709,-1364.33534106268,-1276.8129507666463
-1239.3434327736122,-1404.903637222992,-1273.3632536474258,-1199.1836826007816
-1334.7843763363799,-1460.3529414542159,-1382.0993834206315,-1004.5553052288012
-1365.4315815577452,-1134.2319356201706,-1325.085505743052,-1142.6397966659986
-1209.31151595941,-1216.6105273074174,-1332.7353329710668,-1097.224004090986
-1122.339706868745,-1383.0724326914806,-1282.032964028061,-1261.8512113942843
-1109.7831504394671,-1084.009377160649,-1516.380315470286,-946.9498336795768
-1076.8115461660584,-1059.483055267604,-1340.571950347659,-1140.4463122159618
-1064.5548800877505,-1115.028139518808,-1505.5465655837631,-1193.8980003805764
-1168.1289527028189,-1163.2805459662786,-1259.5675227904117,-974.2719091048459
-1366.04149763627,-1361.2030392846823,-1434.916530454472,-1189.333413545883
-1010.1018925635512,-1049.2971121155442,-1184.966347555317,-1315.3277580268243
-1255.4334320412597,-1242.4728158036223,-1596.929189630034,-1188.963827940408
-1234.9505004537589,-1094.0321941737016,-1457.3600585999066,-912.1817073532989
-1284.19886122083,-1230.4582497847973,-1285.569076943627,-1078.8983296658369
-1313.9525160339522,-1334.3174570592391,-1325.6024594230107,-629.2361825178906
-1123.539309746809,-1052.3181582358436,-1607.6794784979134,-1149.0237750572273
-1018.4331905351677,-1167.927666361857,-1452.2541684933076,-1130.3234594485239
-1190.7661035290407,-1431.8128271441806,-1294.1604168543508,-1260.028129309189
-1019.9382179490655,-1204.7857068798974,-1555.1079493101465,-1174.9457135108025
-1119.063827466814,-1262.4164364299922,-1302.0406646736778,-1142.1452337655783
-1241.8597765544123,-1347.8219224473178,-1572.2984875732898,-1157.2945222934627
-1375.0162876365255,-995.6954039136381,-1353.3443730558847,-1191.0896622149444
-1247.6814887455655,-978.2590005725363,-1473.9609882248706,-1200.4073689185616
-1289.5122391107936,-1462.0857874116623,-1443.817898337122,-1104.741188831294
-1135.3418996115133,-1355.5442174175214,-1503.9131169762127,-1175.5221965665864
-1042.106967746466,-1287.3875137693303,-1456.4044573876247,-1138.7759633192816
-1309.161374050817,-1115.698013488297,-1654.0008869124995,-1217.7925179476551
-1052.8238695394875,-1138.5392924391108,-1596.7399521754637,-1074.058961537503
-1187.8427449733213,-1319.9652572595187,-1565.8964134129394,-1227.7670746371743
-1155.180480294894,-1479.1086132282346,-1195.1925380727384,-1005.9160876511299
-1121.297106406807,-1415.1342398058687,-1425.7660405566235,-1179.9270614266597
-1111.224933582108,-1524.8774431676409,-1468.5687503294675,-1215.7537357674141
-1106.3766832151377,-1098.4074180556931,-1268.2931200583594,-1155.4579518733967
-992.3031794163217,-1128.4210128144368,-1273.999362961837,-953.0889734273776
-1275.8917815378304,-993.3585351872398,-1652.2794206957528,-1171.0157207929892
-1273.7598969716073,-1275.4025417002094,-1365.7549859545363,-1226.299737854205
